step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
1135.0,60,7193.0,87.71951219512195,2.462550124414304,60,11956.0,0.0895657161399683,60,11956.0
1140.0,60,7493.0,98.59210526315789,2.2701152760821386,60,12243.0,0.07827292465167429,60,12243.0
1145.0,62,7801.0,97.5125,2.8706535079379205,62,12551.0,0.07355892836216736,62,12551.0
1150.0,62,8111.0,106.72368421052632,2.2374384602997575,62,12861.0,0.07012633584404027,62,12861.0
1155.0,58,8348.0,107.02564102564102,2.2432458058705538,58,13126.0,0.13549027810874023,58,13126.0
1160.0,61,8648.0,113.78947368421052,1.994920338886219,61,13398.0,0.07838091121823756,61,13398.0
1165.0,64,8967.0,109.35365853658537,2.3488474604980367,64,13717.0,0.08519474864976491,64,13717.0
1170.0,62,9241.0,118.47435897435898,1.9028418695619984,62,14015.0,0.08748593046380036,62,14015.0
1175.0,60,9538.0,120.73417721518987,2.3955636210102385,60,14291.0,0.10403265970672931,60,14291.0
1180.0,62,9843.0,123.0375,2.9472488398859533,62,14593.0,0.08342515429163053,62,14593.0
1185.0,62,10153.0,126.9125,2.825475378868845,62,14903.0,0.09761786951641986,62,14903.0
1190.0,61,10441.0,139.21333333333334,1.747323315983652,61,15191.0,0.0831460349237167,61,15191.0
1195.0,62,10750.0,141.44736842105263,2.277473468952721,62,15500.0,0.09539434544864743,62,15500.0
1200.0,65,11067.0,145.6184210526316,1.7685703647455442,65,15817.0,0.05511277455363821,65,15817.0
1205.0,60,10652.0,140.1578947368421,1.513382397751919,60,15305.0,0.08035145413176104,60,15305.0
1210.0,54,9742.0,124.8974358974359,2.5697762728646505,54,14127.0,0.10490062872375422,54,14127.0
1215.0,48,9053.0,113.1625,3.4212270899241446,48,12937.0,0.13226436184801096,48,12937.0
1220.0,39,8087.0,103.67948717948718,3.4299964836486585,39,13099.0,0.16567800163153681,39,13099.0
1225.0,33,7594.0,98.62337662337663,3.6355387663030667,33,13171.0,0.17491564109553984,33,13171.0
1230.0,40,7780.0,94.8780487804878,4.02665728091872,40,13304.0,0.1836642608021599,40,13304.0
1235.0,47,5172.0,63.073170731707314,2.384680355432177,47,11970.0,0.08651210438252321,47,11970.0
1240.0,49,1350.0,15.882352941176471,2.594416648325981,49,9521.0,0.11528385077008525,49,9521.0
1245.0,49,662.0,7.880952380952381,2.9188874787754298,49,6792.0,0.09820570988540075,49,6792.0
1250.0,56,853.0,9.918604651162791,2.6680440979457485,56,7023.0,0.12172361032453892,56,7023.0
1255.0,54,1054.0,12.698795180722891,2.392947447979608,54,7222.0,0.06857576761779802,54,7222.0
1260.0,58,1340.0,16.341463414634145,3.179692803671402,58,7464.0,0.10471676105613908,58,7464.0
1265.0,60,1639.0,20.746835443037973,3.085417737473876,60,7754.0,0.09484508137656618,60,7754.0
1270.0,56,1677.0,21.5,2.229967844855611,56,7940.0,0.06620033290727115,56,7940.0
1275.0,54,1882.0,25.78082191780822,2.5050414655629805,54,8066.0,0.11634027249853081,54,8066.0
1280.0,55,2153.0,28.32894736842105,2.988651410978078,55,8268.0,0.08603308113894537,55,8268.0
1285.0,52,2370.0,31.6,2.732211693971931,52,8518.0,0.09874062810825314,52,8518.0
1290.0,52,2616.0,35.83561643835616,3.0093744429729647,52,8739.0,0.1256863843007965,52,8739.0
1295.0,52,2876.0,41.08571428571429,3.1870210997277355,52,8991.0,0.08318342738332428,52,8991.0
1300.0,48,2662.0,35.972972972972975,3.383943505504615,48,8514.0,0.13280434530905197,48,8514.0
1305.0,41,2131.0,32.28787878787879,2.915891135421662,41,7550.0,0.1261311191314726,41,7550.0
1310.0,37,1730.0,24.366197183098592,4.097423453915854,37,6806.0,0.18922046772972342,37,6806.0
1315.0,30,1352.0,20.17910447761194,4.0841611738926265,30,6720.0,0.20153151544203518,30,6720.0
1320.0,27,983.0,14.893939393939394,3.9679994686552704,27,6834.0,0.19755350179350498,27,6834.0
1325.0,35,1147.0,16.6231884057971,3.78530976876956,35,6996.0,0.1562808728841869,35,6996.0
1330.0,42,1345.0,18.943661971830984,2.8085832175568077,42,7194.0,0.11553418055451051,42,7194.0
1335.0,44,1356.0,18.833333333333332,2.3029989511141262,44,7330.0,0.1059077866031039,44,7330.0
1340.0,49,1546.0,20.89189189189189,2.6916273759637437,49,7437.0,0.12922486562522356,49,7437.0
1345.0,57,1818.0,24.24,2.9320663335576205,57,7671.0,0.10627164360270387,57,7671.0
1350.0,52,2055.0,26.68831168831169,2.88773909706724,52,7927.0,0.10791630044215027,52,7927.0
1355.0,52,2315.0,32.605633802816904,3.14139390359998,52,8168.0,0.10920093265995592,52,8168.0
1360.0,54,2579.0,35.32876712328767,3.2925690804202654,54,8432.0,0.11367858345152064,54,8432.0
